REPORTE DE EVENTOS - CASA INTELIGENTE
Formato: [fecha y hora del RTC] TIPO | descripcion
[2026-09-21 22:48:58] CONTROL MANUAL | Botón Apagar LED presionado
[2026-09-21 22:49:00] CONTROL MANUAL | Consulta de fecha y hora del RTC
[2026-09-21 22:49:02] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 22:49:04] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 22:49:08] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:09] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:11] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:12] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:14] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR CLOSED
[2026-09-21 22:49:18] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:20] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:23] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:25] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:29] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:31] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:32] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:35] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:35] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:36] CONTROL MANUAL | Botón Cerrar puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR MOVING OPEN
[2026-09-21 22:49:44] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR CLOSED
[2026-09-21 22:49:50] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:49:52] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:49:54] CONTROL MANUAL | Botón Cerrar puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR MOVING OPEN
[2026-09-21 22:50:02] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:05] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:07] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:19] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:22] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:24] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: Estado inesperado de la puerta: DOOR CLOSED
[2026-09-21 22:50:31] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:33] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:35] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:48] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:51] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:51] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 22:50:55] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 22:50:57] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 22:51:47] CONTROL MANUAL | Botón Abrir puerta presionado
